t,h,Q,Cs,Ds,qs,qb,wbed,Db,U,W,S,H,Fr,tstar_c,ustar_sk,tstar_sk,qb_w,qb_calc
2/28/2015,14.83614,362.4556416,8.22E-06,0.000173,7.889852287,1.236359673,23.67361111,0.000302026,0.934417023,59.09400309,0.000118806,6.564032331,0.11644501,0.019379094,0.039512481,0.319353545,1.38E-05,1.970578809
3/1/2015,14.87076867,369.7708271,7.97E-06,0.000200194,7.825368534,1.322324129,24.03277116,0.000302026,1.026523131,56.80723267,0.000121519,6.341036764,0.130152975,0.019379094,0.042800706,0.374718388,1.78E-05,2.540576409
3/4/2015,14.841982,363.9894708,1.02E-05,0.000188813,9.913391872,1.16934136,23.34238591,0.000350221,1.085895824,48.86677566,0.000119374,6.859413339,0.13237628,0.017918684,0.045344325,0.362703109,2.12E-05,3.032043883
7/11/2015,15.582646,554.0663063,9.25E-05,0.000132139,136.9740163,6.437513159,31.55208333,0.000346913,1.214035146,53.16666667,0.000191923,8.584026474,0.132297376,0.01799874,0.051755154,0.477017153,3.21E-05,4.59173778
7/12/2015,15.57723943,551.7739901,9.10E-05,0.000130661,134.6232461,6.485466744,31.51917517,0.000504957,1.209291666,52,0.000191026,8.774589761,0.130341629,0.016094988,0.053284792,0.347375302,3.46E-05,4.943982914
